ENTRADA / RADICADO,ÁREA RESPONSABLE,ASUNTO
E-2026-043258,DRTA,MSG_CONFIDENCIAL - 318301-4 - 202603 - INFORME MENSUAL
10600-2026-1113,DRTA,SOLICITUD DE INFORMACIÓN. EXPEDIENTE 9912-2025
1360001-2026-318,DRTA,CARTERA IMPUESTO DE TIMBRE AÑO 202
E-2026-048763,DRTA,COMUNICACION OFICIAL 23032026E2013308  ASUNTO: SOLICITUD DE ACTUALIZACIÓN DE INVERSIONES Y PROYECCIONES FINANCIERAS PARA EL CUMPLIMIENTO DE LA SENTENCIA DE DESCONTAMINACIÓN DEL RÍO BOGOTÁ – ORDEN 4.75
1190001-2026-0901,DRTA,RESPUESTA AVISO SAP NO. 700068406.
CORREO,DRTA,SOLICITUD ACLARACIÓN INFORMACIÓN - DEMANDA CONSORCIO ESPACIO PUBLICO 2023 CONTRATO 1-01-25500-1345- 2023
E-2026-062921,DRTA,ENVIÓ DOCUMENTO SECRETARIA DISTRITAL DE AMBIENTE RADICADO NO. 2026EE109790
E-2026-063439,DRTA,REQUERIMIENTO - 3877722026DERECHO DE PETICIÓN - PARTICULAR
1360001-2026-278,DIRECCIONES,CARTERA IMPUESTO DE TIMBRE AÑO 2026
E-2026-073165,DRT_DABA,ENVIO DOCUMENTO SECRETARIA DISTRITAL DE AMBIENTE RADICADO NO. 2026EE128204
1360001-2026-439,DRTA-DBR,CARTERA IMPUESTO DE TIMBRE AÑO 2026
1250001-2026-0156,DRT_DABA_DRM_GCSM,"SOCIALIZACIÓN PLAN DE AUDITORÍA INTERNA DE CALIDAD ESTÁNDAR NTC ISO 9001:2015 AL PROCESO  MPMM GESTIÓN DE MANTENIMIENTO, CALIBRACIÓN, HIDROMETEOROLOGÍA Y ENSAYO"
2631001-2026-0143,DIRECCIONES,MANTENIMIENTO MAQUINARIA PESADA Y ESPECIALIZADA
